Household,"Kashyap Retail 100% Cotton Pillow Covers/Pillow Case/Pack of 2-25"" X 17"" (63cmX43cm) - Brown The package contains 2 pillow covers. Ideal for product for those looking to buy only pillow covers without sheets looking very good comfortable"
Household,"Snezhinka 100% Silk Pillow Cover In Charmeuse Weave, 21 Momme, Standard Size, White Colour Luxurious Pillow Cover made of 100% Silk fabric in Charmeuse weave (21 Momme). Daily use of Silk pillow cover to sleep on helps retain that youthful looking skin, delays appearance of wrinkles and damage due to dryness. Silk keeps facial skin hydrated through the night, and is very gentle on sensitive skin. It also keeps that bed-head under control due to less or no friction on hair, thereby reducing hair damage like spilt ends, breakage, dryness etc. Silk retains natural moisture in hair, keeping it tangle free and smooth through the night. Blow-outs, curls or any styling done on hair last longer. It's hypoallergenic properties include a natural resistance to dust mites, fungus and mold, in addition to many other allergens. FABRIC CARE: Hand wash only. Use mild detergent. Do not wring to dry. Do not bleach."
Household,"Trust basket Set of 5 Bucket Planter(Pink,Purple,Blue,Green,Yellow) For example: - if you place these planters on a balcony or in terrace railings/wall this planters will give an appealing look for your house/flat/apartment. Railing planters are not only used to grow plants they also welcome your visitors. Railing special planters can be easy to hang on the balcony, window, railing, anywhere in the room to decorate them. It can be used for indoor and outdoor decorations. Trust basket planters are weather resistant and their color doesn't fade in sunlight or water. This planter specially made with galvanized iron which is rust resistant material and these planters have drainage hole in the bottom to flow excess of water."
Household,"Milton Plastic Orbit Tint Bucket & Matching Mug (25 Liters, Clear) Size:25 Liters                                                                                 |                            Color Name:Clear   For those who love to have a bath with a bucket instead of a shower, this Premium Plastic Bath Bucket from Milton is a great option for your bathroom. The Patented design of Milton is one of its kind in INDIA. and quality plastic material, this bucket is long-lasting, and can store water that is both extremely hot and cold. This bucket features a round-top design."
Household,"Kuber Industries 2 Piece Plastic Bucket Set, 16 litres Made of plastic material. This has a strong, sturdy body and beautiful design. You can use it to storing water and other liquid. This bucket is very handy while using it for cleaning your floor. This bucket comes with comfortable handle for easy grip. The handle has been fitted into the bucket grooves which are inbuilt. This is reusable and the extra strong feature help the bucket with long life."
Household,"e-Glob Non Joint Leak Proof Stainless Steel Bucket Multipurpose, 15 L Steel bucket use for water storage or use in bathroom. Material : Stainless Steel."
Household,"Milton Plastic Orbit Tint Bucket & Matching Mug (25 Liters, Clear) Size:25 Liters                                                                                 |                            Color Name:Clear   For those who love to have a bath with a bucket instead of a shower, this Premium Plastic Bath Bucket from Milton is a great option for your bathroom. The Patented design of Milton is one of its kind in INDIA. and quality plastic material, this bucket is long-lasting, and can store water that is both extremely hot and cold. This bucket features a round-top design."
Household,"Nilkamal Wheel Garbage Waste Dustbin 120 Ltr (Green) This product is from the brand ARISTO. This contains 120 l. it can easily move with wheels even with full of garbage. This product is also available in other various colour s like yellow, red, dark blue."
Household,Nayasa Funk 25 Ltr Bucket & Matching Mug - Black From the house of Nayasa. This elegant looking bucket with floral design made up of high quality plastic serves as a perfect bucket for household application. The exuisite material uality provides a rugged product to users and also a longer life to the bucket. The matching Mug is a part of package which enhances the aesthetics and usability.
Household,"Nayasa 2 Piece Plastic Bathroom Bucket and Mug Set, Off-White Strong and sturdy product it can be reusable for lifetime and also can be recyclable, beautiful design which is made up of of PP material."
Household,"Gala Twin Bucket Spin Mop with 2 refills and 1 liquid dispenser (Blue) Gala Twin Bucket Spin Mop Set A great complement to your home cleaning tools - including a dual bucket and two 360 spin mops, this set offers comfort and superior cleaning performance in just one product. Designed purposefully for use on any type of floor (tiles, wooden, flooring, slate, linoleum, etc) and reach even the most difficult spots with easy-to-grip handle and mop extension. Product details Splittable dual bucket with clean and dirty water compartments - Compact design and easy storage Built-in wringer for a comfortable cleaning process Expandable stainless steel handle with quick lock: up to 117cm Built-in liquid dispenser for extra aroma and effective cleaning Gala Spin Mop Refill compatible with this set Microfiber mop that easily removes dirt and particles while efficiently absorbing liquids Gala is part of Freudenberg Home and Cleaning Solutions Freudenberg Home and Cleaning Solutions is a Freudenberg company and a world leader in cleaning tools with Vileda being its most popular brand. FHCS is present is all over the world with successful brands for over 60 years now. In India, the com-pany is present in all leading modern trade outlets and also distributed in the general trade/grocery stores via a network of over 250 distribution partners."
Household,Saurabh Shaktiman Unbreakable Bucket - 18 Litres - Orange Saurabh Shaktiman by Signet Group. Saurabh Shaktiman Unbreakable Bucket 18 Liter (Set Of 1) is extra strong. An unbreakable plastic bucket with extravagant strength and style. A durable product from one of the India's leading plastic manufacturer.No more hassle's for changing the bucket usually due to breakage or cracks. This bucket is very handy while using it for cleaning your floor. The extra strong feature helps the bucket with long life. The bucket comes in a vibrant colour i.e Orange. The handle has been fitted into the bucket grooves which are inbuilt. The handle are made with plastic which lends the strength needed to lift loads of water in the bucket without bending or breaking.Bucket capacity is 18 Ltrs.
